,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,lat,lng,pca_x,pca_y,cluster
1704,Bronx,Soundview,03 THREE FAMILY DWELLINGS                  ,1,3493,50,C0,453 ST LAWRENCE AVENUE,10473,3,0,3,2917,2925,1975,1,C0,410000,40.81432994,-73.86326519,-1.7730977382453614,-0.05161283120804985,1
1470,Bronx,Morrisania/Longwood,32 HOSPITAL AND HEALTH FACILITIES          ,4,2708,32,I9,742 KELLY STREET,10455,0,1,1,2500,2610,1910,4,I9,975000,40.81690169,-73.89926982,-4.538989031076555,1.2451026854903078,1
5185,Brooklyn,Ocean Hill,02 TWO FAMILY DWELLINGS                    ,1,1446,115,B2,2086 DEAN STREET,11233,2,0,2,2144,2551,2003,1,B2,820000,40.67514953,-73.91848537,-3.0255323061760824,-0.14598926458957048,4
3487,Brooklyn,Canarsie,02 TWO FAMILY DWELLINGS                    ,1,8074,53,B1,1350 EAST 84TH   STREET,11236,2,0,2,2400,3450,1960,1,B1,530000,40.629857200000004,-73.90202131,-2.7743631400567312,0.2154048513325186,2
1243,Bronx,Melrose/Concourse,01 ONE FAMILY DWELLINGS                    ,1,2423,45,A5,299 EAST 163RD STREET,10451,1,0,1,1718,2232,1901,1,A5,435000,40.82693274,-73.91644422,-4.177315145218423,-0.2821623685845159,4
1896,Bronx,Williamsbridge,02 TWO FAMILY DWELLINGS                    ,1,4681,39,B1,3516 BRONXWOOD AVENUE,10469,2,0,2,2360,2968,1960,1,B1,525000,40.87606426,-73.86015269,-2.8567888362743163,0.037089547833201855,0
5412,Brooklyn,Ocean Parkway-South,02 TWO FAMILY DWELLINGS                    ,1,7212,85,B1,23 DANK COURT,11223,2,0,2,2000,2812,1965,1,B1,178000,40.58661637,-73.97343476,-3.1028075805673585,-0.4122988259246392,2
179,Manhattan,Harlem-Central,02 TWO FAMILY DWELLINGS                    ,1,1903,155,B2,148 WEST 119TH STREET,10026,2,0,2,1817,5004,1900,1,B2,3500000,40.80475879,-73.95026358,-2.0247304060799776,1.0453100003623428,3
5427,Brooklyn,Ocean Parkway-South,03 THREE FAMILY DWELLINGS                  ,1,7223,47,C0,841 AVENUE Z,11235,3,0,3,2000,2354,1925,1,C0,790000,40.58705533,-73.96274565,-2.117280425573832,-0.9193466975040584,11
656,Manhattan,Upper East Side (79-96),07 RENTALS - WALKUP APARTMENTS             ,2,1554,28,C7,1771 1 AVENUE,10128,40,2,42,5116,21640,1910,2,C7,22795500,40.78041426,-73.94679591,43.43299535417634,-4.833506542930567,3
2416,Brooklyn,Bedford Stuyvesant,02 TWO FAMILY DWELLINGS                    ,1,2021,15,B3,18 BREVOORT PLACE,11216,2,0,2,1520,2444,1931,1,B3,2050000,40.67999459,-73.95474935,-2.988000700880504,-0.3903516448145878,3
4854,Brooklyn,Gowanus,14 RENTALS - 4-10 UNIT                     ,2A,407,36,S3,144 4 AVENUE,11217,3,1,4,1453,4356,1931,2,S3,3200000,40.68009496,-73.98135999,-1.1699517007400142,0.03999156931559126,3
4339,Brooklyn,East New York,07 RENTALS - WALKUP APARTMENTS             ,2A,4301,25,C3,684 WYONA,11207,4,0,4,2800,3360,1927,2,C3,10,40.66176101,-73.88981973,-0.7973195631929975,-0.6995393037999561,1
3585,Brooklyn,Carroll Gardens,03 THREE FAMILY DWELLINGS                  ,1,365,27,C0,46 2 PLACE,11231,3,0,3,1280,3072,1901,1,C0,2850000,40.68012216,-73.99970189,-1.7856549626310547,-0.7009142010205277,9
25,Manhattan,Chelsea,07 RENTALS - WALKUP APARTMENTS             ,2B,790,8,C7,149 WEST 14TH STREET,10011,8,1,9,2581,7650,1920,2,C7,6450000,40.73828823,-73.99901152,5.3434845435330285,0.36373879438405576,3
3650,Brooklyn,Clinton Hill,02 TWO FAMILY DWELLINGS                    ,1,1982,12,B3,417 GRAND AVE,11238,2,0,2,2575,6200,1901,1,B3,3500000,40.68335203,-73.96176798,-1.5504387138009792,2.0389111307367345,9
3652,Brooklyn,Clinton Hill,02 TWO FAMILY DWELLINGS                    ,1,2012,49,B3,560 WASHINGTON AVENUE,11238,2,0,2,1970,3300,1899,1,B3,1920000,40.68214633,-73.96463668,-2.66227286623466,0.17792721301667025,8
7222,Queens,Ridgewood,02 TWO FAMILY DWELLINGS                    ,1,3627,30,B1,64-14 68TH AVENUE,11385,2,0,2,2217,3462,1910,1,B1,680000,40.70583696,-73.89393426,-2.759287604612484,0.06963203198137766,1
2557,Brooklyn,Bedford Stuyvesant,07 RENTALS - WALKUP APARTMENTS             ,2A,1626,50,C2,126 MALCOLM X BOULEVARD,11221,5,0,5,1920,3840,1931,2,C2,1550000,40.68922134,-73.93038061,0.2983249941485214,-1.3328990124846731,3
3332,Brooklyn,Bushwick,03 THREE FAMILY DWELLINGS                  ,1,3339,9,C0,1104 GATES AVE,11221,3,0,3,2000,3300,1905,1,C0,1000,40.69016492,-73.92136185,-1.9934898037088609,-0.884563173242761,5
